Serial_Number,Date,Time,Timestamp,People_Count,Camera_ID,Location,Latitude,Longitude
1,2026-07-23,08:38:40,2026-07-23 08:38:40,21,cam1,"GPS (28.56108, 77.20533)",28.561077,77.205328
2,2026-07-23,08:40:40,2026-07-23 08:40:40,24,cam1,"GPS (28.56106, 77.20533)",28.561062,77.205327
3,2026-07-23,08:42:40,2026-07-23 08:42:40,23,cam1,"GPS (28.56106, 77.20533)",28.561062,77.205327
4,2026-07-23,08:44:41,2026-07-23 08:44:41,24,cam1,"GPS (28.56102, 77.20534)",28.561023,77.205338
5,2026-07-23,08:46:41,2026-07-23 08:46:41,24,cam1,"GPS (28.56108, 77.20533)",28.561077,77.205328
6,2026-07-23,08:48:41,2026-07-23 08:48:41,23,cam1,"GPS (28.56108, 77.20533)",28.561077,77.205328
7,2026-07-23,08:50:41,2026-07-23 08:50:41,25,cam1,"GPS (28.56109, 77.20530)",28.561085,77.205304
8,2026-07-23,08:52:41,2026-07-23 08:52:41,22,cam1,"GPS (28.56109, 77.20530)",28.561085,77.205304
9,2026-07-23,08:54:41,2026-07-23 08:54:41,22,cam1,"GPS (28.56109, 77.20530)",28.561085,77.205304
